TEST",SUPERVISI,"KONDISI UPDATE GI / KETERANGAN
(Jika ada)",PENYEDIA JASA PASANG,NOMOR JASA PASANG,"TUG 4
No & Tgl","TUG 3
No & Tgl",RENCANA PASANG MTU,REALISASI PASANG MTU,"BERITA 
ACARA",RELOKASI,"RELOKASI
(UPT)","RELOKASI
(GARDU INDUK)","RELOKASI
24,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY BUSBAR D,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CVT150,,RFQ 002,-,N/A,-,,Kebutuhan Buspro Usulan 2024,3 Hari,,37992042937,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Maret 2025,21 Jun 2026,,,,,,,,CVT150-RFQ 002,2070968,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CVT150-RFQ 002,#N/A,#N/A,,,#N/A,#N/A,,,,Jun 2026,
25,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY BUSBAR D,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CVT150,,RFQ 002,-,N/A,-,,Kebutuhan Buspro Usulan 2024,3 Hari,,37992042938,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,April 2026,21 Jun 2026,,,,,,,,CVT150-RFQ 002,2070968,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CVT150-RFQ 002,#N/A,#N/A,,,#N/A,#N/A,,,,Jun 2026,
26,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY BUSBAR D,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CVT150,,RFQ 002,-,N/A,-,,Kebutuhan Buspro Usulan 2024,3 Hari,,37992042939,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,April 2026,21 Jun 2026,,,,,,,,CVT150-RFQ 002,2070968,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CVT150-RFQ 002,#N/A,#N/A,,,#N/A,#N/A,,,,Jun 2026,
27,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Sets,BUS PROTECTION,CB150,,RFQ 009,YES,INCLUDE,-,RST,Kebutuhan Buspro Usulan 2024,3 Hari,Rated Voltage Motor 110 VDC,4853750590001,ONSITE,,,,,September 2025,Agustus 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CB150-RFQ 009,2010022,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CB150-RFQ 009,#N/A,#N/A,,7.365.000,#N/A,#N/A,,,,Des 2025,
28,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,7 Hari,,37994051104,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
29,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,,,37994051105,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
30,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,,,37994051106,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
31,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,,,37994051107,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
32,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,,,37994051108,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
33,2024.TJBT.10.002,BANDUNG,GI 150KV BANDUNG SELATAN,BAY SECTION 2,0064.Pj/DAN.01.03/F33000000/2024 tgl 19 Des'24,PT UNELEC INDONESIA,2024,1,Unit,BUS PROTECTION,CT150,,RFQ 030,-,N/A,-,,Kebutuhan Buspro Usulan 2024,,,37994051109,ONSITE,,,,,September 2025,September 2025,,,Oktober 2025,,,,,,PT KENCANA ALAM PUTRA,,032.TUG-4/LOG-UPTBDG/X/2025,032.TUG-3/LOG-UPTBDG/X/2025,Desember 2025,14 Des 2025,,TIDAK RELOKASI,,,,,,CT150-RFQ 030,2054221,,,PT UNELEC INDONESIA;GI 150KV BANDUNG SELATAN;CT150-RFQ 030,#N/A,#N/A,,,#N/A,#N/A,,,,Des 2025,
