NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
28,UPT PURWOKERTO,GI 150KV BREBES,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,18-Jan-2014,2012,12,R,HSP,STARIP 170-1250 E-3 spez,222917,RIP,,,,,,,,
29,UPT PURWOKERTO,GI 150KV BREBES,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,18-Jan-2014,2012,12,S,HSP,STARIP 170-1250 E-3 spez,222920,RIP,,,,,,,,
30,UPT PURWOKERTO,GI 150KV BREBES,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,18-Jan-2014,2012,12,T,HSP,STARIP 170-1250 E-3 spez,222928,RIP,,,,,,,,
31,UPT PURWOKERTO,GI 150KV BREBES,TRF#3 150/22kV,CG PAUWELS,ORF.60/275,14-Okt-2016,2015,9,R,,,,RIP,,,,,,,,
32,UPT PURWOKERTO,GI 150KV BREBES,TRF#3 150/22kV,CG PAUWELS,ORF.60/275,14-Okt-2016,2015,9,S,,,,RIP,,,,,,,,
33,UPT PURWOKERTO,GI 150KV BREBES,TRF#3 150/22kV,CG PAUWELS,ORF.60/275,14-Okt-2016,2015,9,T,,,,RIP,,,,,,,,
34,UPT PURWOKERTO,GI 150KV BREBES,TRF#2 150/22KV,CG PAUWELS,ORF.60/275,12-Jun-2017,2017,9,R,ABB,RTF 170-750/1250 B,IZCD11176294,RIP,,,,,,,,
35,UPT PURWOKERTO,GI 150KV BREBES,TRF#2 150/22KV,CG PAUWELS,ORF.60/275,12-Jun-2017,2017,9,S,ABB,RTF 170-750/1250 B,IZCD11180403,RIP,,,,,,,,
36,UPT PURWOKERTO,GI 150KV BREBES,TRF#2 150/22KV,CG PAUWELS,ORF.60/275,12-Jun-2017,2017,9,T,ABB,RTF 170-750/1250 B,IZCD11180404,RIP,,,,,,,,
37,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,1-Jan-2003,2002,23,R,TRENCH,COT,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
38,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,1-Jan-2003,2002,23,S,TRENCH,COT,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
39,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,1-Jan-2003,2002,23,T,TRENCH,COT,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
40,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#1 150/20kV,UNINDO,MPT,14-Jun-2016,2014,10,R,PASSONIVILLA,PNO,HH03039523,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
41,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#1 150/20kV,UNINDO,MPT,14-Jun-2016,2014,10,S,PASSONIVILLA,PNO,HH03039524,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
42,UPT PURWOKERTO,GI 150KV BUMIAYU,TRF#1 150/20kV,UNINDO,MPT,14-Jun-2016,2014,10,T,PASSONIVILLA,PNO,HH03039525,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
43,UPT PURWOKERTO,GI 150KV COMAL,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,27-Mei-2021,2018,5,R,HSP,STARIP 170-1250 E-3 spez,263488,RIP,,,,,,,,
44,UPT PURWOKERTO,GI 150KV COMAL,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,27-Mei-2021,2018,5,S,HSP,STARIP 170-1250 E-3 spez,263484,RIP,,,,,,,,
45,UPT PURWOKERTO,GI 150KV COMAL,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,27-Mei-2021,2018,5,T,HSP,STARIP 170-1250 E-3 spez,263489,RIP,,,,,,,,
46,UPT PURWOKERTO,GI 150KV DIENG,TRF#1 150/20kV,PASTI,ORF.30/275,18-Agu-2011,1994,14,R,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
47,UPT PURWOKERTO,GI 150KV DIENG,TRF#1 150/20kV,PASTI,ORF.30/275,18-Agu-2011,1994,14,S,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
48,UPT PURWOKERTO,GI 150KV DIENG,TRF#1 150/20kV,PASTI,ORF.30/275,18-Agu-2011,1994,14,T,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
49,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#1 150/20kV,UNINDO,MPT,4-Jan-2016,2014,10,R,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
50,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#1 150/20kV,UNINDO,MPT,4-Jan-2016,2014,10,S,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
