TECHIDENTNO,MTU,ULTG,UPT,GARDU INDUK,BAY,FASA,TEG,MERK,TIPE,TAHUN BUAT,"USIA
(TAHUN)",JUNE,MAY,APRIL,Parameter Pemicu (evaluasi),RENCANA TINDAK LANJUT POWER INSPECT,Target Penyelesain,AHI SETELAH EVALUASI,PENEMPATAN,HARTRANS,KOORDINAT,KATEGORI USIA,AHI TERBARU
11351536036000000049,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV COMAL,TRF#1 150/22kV,RST,150,CG PAUWELS,ORF.60/275,2018,8,5 - Critical,5 - Critical,1 - Very good,Hasil Uji Hartin 2025 IP Tahanan Isolasi P-T 1.06 - Critical. Trafo baru energize 2021. Cek ulang saar hartin 2027 awal jadwalkan hartin,Cek hasil uji DGA terbaru ada kenaikan atau tidak khsususnya  C2H2 Semester 2 2026,30/09/2026,5 - Critical,,HARTRANS 2,"-6.9213424,109.554373",Normal,5 - Critical
11316128628600000001,TRAFO,#N/A,UPT PURWOKERTO,GI 150KV DIENG,TRF#1 150/20kV,RST,150,PASTI,ORF.30/275,1994,32,4 - Poor,3 - Fair,5 - Critical,,"Penggantian Trafo, Trafo sudah onsite",18/07/1905,4 - Poor,,HARTRANS 2,#N/A,Sangat Tua,4 - Poor
11316128728700000001,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#2 150/22kV,RST,150,HYUNDAI,RP-3046,1986,40,4 - Poor,4 - Poor,2 - Good,"Berdasarkan hasil uji Minyak 29 jan 2026 IFT  18,4 (critical). trending IFT selalu mengecil nilainya dari tahun 2022",pemantauan hasil uji minyak 2027 dan validasi hasil uji hartin 2026 (segera dijadwalkan hartin,18/07/1905,4 - Poor,,HARTRANS 2,"-7.630075068,109.5094699",Sangat Tua,4 - Poor
11351529129100000004,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#1 150/20kV,RST,150,UNINDO,MPT,2014,12,3 - Fair,3 - Fair,2 - Good,,,,3 - Fair,,HARTRANS 2,"-7.630075068,109.5094699",Normal,3 - Fair
11351529129100000081,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#3 150/22KV,RST,150,CG PAUWELS,ORF.60/275,2021,5,3 - Fair,3 - Fair,2 - Good,"Hasil Uji hartin 14 agustus 2024 IP Tahanan Isolasi P-G 1,30 - Fair
Hasil uji DGA 29 Jan 2026 Kondisi Normal. Tidak ada C2H2",,,3 - Fair,,HARTRANS 2,"-7.630075068,109.5094699",Normal,3 - Fair
11316127927900000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#4 150/20kV,RST,150,UNINDO,N-RANGE,2006,20,3 - Fair,3 - Fair,2 - Good,,,,3 - Fair,,HARTRANS 2,"-7.43325578,109.2584145",Tua,3 - Fair
11316127927900000002,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#3 150/20kV,RST,150,UNINDO,TTHRV,1996,30,4 - Poor,4 - Poor,5 - Critical,"Berdasarkan hasil uji 16 jan 2025, nilai tan delta bushing  fasa R 0,58 (Poor)",pemantauan hasil uji saat hartin 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-7.43325578,109.2584145",Tua,4 - Poor
11351527927900000004,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#2 150/30/20kV,RST,150,B&D TRANSFORMER,PX-194-CO1B,2024,2,2 - Good,2 - Good,1 - Very good,,,,2 - Good,,HARTRANS 2,"-7.43325578,109.2584145",Normal,2 - Good
11351527927900000005,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#5 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2015,11,3 - Fair,3 - Fair,2 - Good,"Berdasarkan hasil uji tgl 19 Sept 2025 Hasil IP Tahanan Isolasi S-G 1,26 - Fair
DGA dan Karakteristik kondisi Good",,,3 - Fair,,HARTRANS 2,"-7.43325578,109.2584145",Normal,3 - Fair
11351527927900000006,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#1 150/30/22kV,RST,150,B&D TRANSFORMER,PX-043-COMB,2019,7,2 - Good,3 - Fair,1 - Very good,,,,2 - Good,,HARTRANS 2,"-7.43325578,109.2584145",Normal,2 - Good
